StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q43,Q44_1,Q52_1,Q45,Q46_1,Q50,Q53,Q47,Q48
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What do you prefer for on-demand availability in the BYU Entrepreneurial Management program? (check all that apply),What is the most that you would be willing to pay (in dollars) for a fresh cupcake delivered to 240 TNRB before class? - 1,How many cupcakes would you buy per week if the price were equal to the willingness to pay you reported above? - 0.00,How far do you commute to class?,How would you rate your sweet tooth? - Which best describes your relationship with sweets?,What is the most fulfilling sweet you have ever had and why?,What food restrictions do you have?  Would you be interested specialty pastries that are gluten free? dairy free? nut free? lectin free?  Any combination of these?,What is your gender?,What is your age?
"{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID44""}","{""ImportId"":""QID46""}","{""ImportId"":""QID142""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID49_5_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID50_5_TEXT""}","{""ImportId"":""QID51""}","{""ImportId"":""QID51_5_TEXT""}","{""ImportId"":""QID52""}","{""ImportId"":""QID52_3_TEXT""}","{""ImportId"":""QID65_1""}","{""ImportId"":""QID65_2""}","{""ImportId"":""QID65_3""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID138_1""}"
1/11/22 15:43,1/11/22 15:48,IP Address,128.187.116.19,100,262,TRUE,1/11/22 15:48,R_1NlzkWs11fb4FFV,,,,,40.25840759,-111.6591034,anonymous,EN,"Cupcakes,Donuts,Cinnamon Rolls,Bagels,Cookies,Kolaches",0.99,1,20 minutes ,Life or death,Chilis Molten Cake ,None,Female,18-25
1/11/22 15:47,1/11/22 15:50,IP Address,66.219.235.103,100,161,TRUE,1/11/22 15:50,R_3Gv2K57RxfT4nAF,,,,,40.23420715,-111.6442032,anonymous,EN,"Cupcakes,Cinnamon Rolls,Bagels,Cookies,Kolaches",2,2,4 blocks,Life or death,Buns Bakery cinnamon rolls because they're the best cinnamon rolls I've ever had,no restrictions,Female,18-25
1/11/22 15:48,1/11/22 15:51,IP Address,128.187.116.3,100,178,TRUE,1/11/22 15:51,R_3HXhicBG9zPWf8O,,,,,40.25840759,-111.6591034,anonymous,EN,Bagels,1,2,20 min,"Prefer fruits, vegetables or nuts","all American chocolate cake from Costco. tastes great, great price",,Male,18-25
1/11/22 15:47,1/11/22 15:52,IP Address,128.187.116.12,100,271,TRUE,1/11/22 15:52,R_4NRQ8E0nApRTdWV,,,,,40.25840759,-111.6591034,anonymous,EN,Kolaches,1,2,15 minute walk,Take it or leave it,Crème brûlée because it is a mixture of sweet and not too sweet ,No food allergies,Male,18-25
1/11/22 16:03,1/11/22 16:07,IP Address,128.187.116.12,100,215,TRUE,1/11/22 16:07,R_1rJsh1DPgLkr1KQ,,,,,40.25840759,-111.6591034,anonymous,EN,"Cupcakes,Bagels,Cookies",5,2,10 minutes,Would choose sweets when available,For sure brownies or Krispy Kreme donuts,None,Female,18-25
1/11/22 16:06,1/11/22 16:08,IP Address,128.187.116.17,100,159,TRUE,1/11/22 16:08,R_esnb3WS19QIQEuJ,,,,,40.25840759,-111.6591034,anonymous,EN,"Cupcakes,Donuts,Cinnamon Rolls,Bagels,Cookies",1.92,2,20 minutes,Would choose sweets when available,Ice cream- because I love it.,gluten and diary allergies but I just eat what I want and accept the consequences.,Male,18-25
1/11/22 16:08,1/11/22 16:09,IP Address,128.187.116.14,100,91,TRUE,1/11/22 16:09,R_3HM5aIR1i5Seq5j,,,,,40.25840759,-111.6591034,anonymous,EN,"Donuts,Cinnamon Rolls,Bagels,Cookies",0.51,3,10 minutes ,Would choose sweets when available,peanut butter bar - I love peanut butter ,"sensitive to guten, dairy",Female,18-25
1/11/22 16:07,1/11/22 16:12,IP Address,128.187.116.5,100,313,TRUE,1/11/22 16:12,R_1ItGymEFnYxQM5S,,,,,40.25840759,-111.6591034,anonymous,EN,"Cupcakes,Bagels,Kolaches",1.26,5,5 minutes,"Prefer fruits, vegetables or nuts","I would have to say my aunts peach pie. It is phenomenal. The gooey center, the juicy fresh peaches she puts in it, and the hand whipped cream on top. Mwah! Doesn’t get any better",None,Male,18-25
1/11/22 16:16,1/11/22 16:19,IP Address,128.187.116.29,100,175,TRUE,1/11/22 16:19,R_3jYtSDqU3jK6dN9,,,,,40.25840759,-111.6591034,anonymous,EN,Kolaches,0.95,1,20 min/ 2 mile,"Prefer fruits, vegetables or nuts",Good fruit. Feel good after I eat it.,NA,Male,18-25
1/11/22 15:58,1/11/22 16:50,IP Address,66.60.102.202,100,3101,TRUE,1/11/22 16:50,R_2WPEzGF7MNlkZYz,,,,,40.65660095,-111.8907013,anonymous,EN,"Cupcakes,Donuts,Cinnamon Rolls,Bagels,Cookies",1.3,2,10 minutes,Would choose sweets when available,Chocolate chip cookie. I was really craving a sweet and I love my grandma's cookies. ,None,Male,18-25
1/11/22 17:15,1/11/22 17:19,IP Address,128.187.116.23,100,233,TRUE,1/11/22 17:19,R_125YxQH1Ica7foG,,,,,40.25840759,-111.6591034,anonymous,EN,"Donuts,Cinnamon Rolls,Bagels",0,,15 min walk ,Take it or leave it,"I really like cinnamon rolls! I don't get them very often, so they're one of my favorites. They always make me think of Christmas. ",none,Female,18-25
1/11/22 17:50,1/11/22 17:54,IP Address,73.65.246.117,100,220,TRUE,1/11/22 17:54,R_1BS3ysf9c9z7nNc,,,,,40.16360474,-111.5998001,anonymous,EN,Kolaches,0,0,10 miles,Take it or leave it,Toffee brownie trifle. It's sweet but not overly so. ,N/A,Male,18-25
1/11/22 18:15,1/11/22 18:17,IP Address,107.77.227.167,100,156,TRUE,1/11/22 18:18,R_1Hc1NmP2bKdXjDP,,,,,34.00300598,-118.4297943,anonymous,EN,"Bagels,Kolaches,Other",0,1,15 minute walk,"Prefer fruits, vegetables or nuts",Costco chocolate chip cookies OR Brian’s apple pie,,Female,18-25
1/11/22 18:51,1/11/22 18:54,IP Address,98.202.149.52,100,174,TRUE,1/11/22 18:54,R_1FaH4M2ENkFUxLw,,,,,40.16360474,-111.5998001,anonymous,EN,"Cupcakes,Donuts,Cinnamon Rolls,Bagels,Kolaches",0.49,2,20 mins,"Prefer fruits, vegetables or nuts",Cinnamon rolls,None,Male,18-25
1/11/22 18:21,1/11/22 19:31,IP Address,66.219.252.50,100,4211,TRUE,1/11/22 19:31,R_12gSLKMto7UM6A5,,,,,40.25840759,-111.6591034,anonymous,EN,Kolaches,1.75,0,7 min walk,"Prefer fruits, vegetables or nuts",churro,none,Male,18-25
1/11/22 20:20,1/11/22 20:25,IP Address,66.219.252.159,100,324,TRUE,1/11/22 20:25,R_1QbhzyKPfK4yxja,,,,,40.25840759,-111.6591034,anonymous,EN,"Cupcakes,Bagels",2.42,1,10 min walk,Would choose sweets when available,"Dulce de Leiche cheesecake - it was so delicious. Creamy, good flavor but not overwhelming. So good. ",Gluten free. Yes I would be interested in specialty pastries,Female,18-25
1/12/22 0:31,1/12/22 0:35,IP Address,136.36.160.158,100,190,TRUE,1/12/22 0:35,R_2lTUOUXpLW3MqXf,,,,,40.25840759,-111.6591034,anonymous,EN,"Cupcakes,Donuts,Bagels",2,1,It takes about 20 minutes from my apartment to the tanner building,"Prefer fruits, vegetables or nuts",Krispy cream donuts because they were always a treat my dad would give us as kids!,None,Male,18-25
1/12/22 6:24,1/12/22 6:27,IP Address,174.204.8.251,100,170,TRUE,1/12/22 6:27,R_1flM8rVYOU91gLu,,,,,43.61650085,-116.2001038,anonymous,EN,"Cinnamon Rolls,Bagels",5,1,7 minutes,Would choose sweets when available,Honestly even a dove chocolate is good for me. ,,Female,18-25
1/12/22 8:39,1/12/22 8:40,IP Address,172.56.40.225,100,79,TRUE,1/12/22 8:40,R_1ptEHuTOGMlcTFq,,,,,40.69810486,-111.9999008,anonymous,EN,Cupcakes,0,0,10 minutes,"Prefer fruits, vegetables or nuts",Made a chocolate lava cake with Halloween candy once ,None ,Male,18-25
1/12/22 10:19,1/12/22 10:23,IP Address,128.187.116.15,100,273,TRUE,1/12/22 10:23,R_11YEFglY5O2g7Ug,,,,,40.25840759,-111.6591034,anonymous,EN,"Cupcakes,Cinnamon Rolls,Bagels,Kolaches",2.51,3,5 minutes,Would choose sweets when available,"Sop buah (fruit soup). This was the most fulfilling because of the location (Indonesia), weather (extremely hot and humid), and overall taste and texture. Additionally, it is somewhat healthy.",n/a,Male,18-25
1/12/22 10:29,1/12/22 10:32,IP Address,136.36.37.66,100,146,TRUE,1/12/22 10:32,R_pMBtMSRmA4NktoZ,,,,,40.25840759,-111.6591034,anonymous,EN,Donuts,1.99,1,2 miles,Take it or leave it,Brownies because they are amazing,Lactose intolerant - would be interested in a dairy free option,Male,18-25
1/12/22 10:28,1/12/22 10:32,IP Address,174.52.70.251,100,252,TRUE,1/12/22 10:32,R_3fADdLYMz05KDyK,,,,,40.25840759,-111.6591034,anonymous,EN,Bagels,1.51,2,10 mile drive + walk,Take it or leave it,Bagel with cream cheese bc it is sweet but not sugary ,NA,Male,18-25
1/12/22 10:27,1/12/22 10:35,IP Address,128.187.112.12,100,453,TRUE,1/12/22 10:35,R_2SoeKwLhPlZoQ0u,,,,,40.35069275,-111.7349014,anonymous,EN,"Cupcakes,Donuts,Cinnamon Rolls,Kolaches",2.92,2,15 minutes,Would choose sweets when available,My peanut butter cupcakes because they are the perfect amount of sweetness and not overbearing.,NA,Female,18-25
1/12/22 12:01,1/12/22 12:04,IP Address,73.63.85.33,100,164,TRUE,1/12/22 12:04,R_WjTJaOCr9cqFFpD,,,,,40.39419556,-111.8482971,anonymous,EN,Cinnamon Rolls,0.11,1,30 min,Take it or leave it,Probably a delicious chocolate cake my companion and I bought for Christmas in Brazil that was the first sweet thing I had eaten in a long time. ,None,Male,18-25
1/12/22 15:25,1/12/22 15:27,IP Address,136.36.57.36,100,85,TRUE,1/12/22 15:27,R_3rG3GKUHyqmSFxg,,,,,40.25840759,-111.6591034,anonymous,EN,Cupcakes,0.1,1,25 minutes,"Prefer fruits, vegetables or nuts",very high quality icecream is my favorite,gluten free,Male,18-25
1/12/22 15:37,1/12/22 15:49,IP Address,174.204.11.78,100,702,TRUE,1/12/22 15:49,R_3GoZUmr230fr7e4,,,,,40.75920105,-111.8874969,anonymous,EN,Cinnamon Rolls,0.52,2,1.5 miles,Would choose sweets when available,A Bundt cake. Idk it was moist and had lemon frosting. ,No. Bring it on. ,Male,18-25
1/12/22 15:49,1/12/22 15:51,IP Address,128.187.112.15,100,163,TRUE,1/12/22 15:51,R_1DIRuLfJB0Uximc,,,,,40.35069275,-111.7349014,anonymous,EN,"Donuts,Cinnamon Rolls,Bagels,Cookies,Kolaches,Other",0,,15-20 minutes,Take it or leave it,,none,Female,18-25
1/13/22 7:11,1/13/22 7:13,IP Address,136.36.203.107,100,125,TRUE,1/13/22 7:13,R_3MffLE8V1SL71YF,,,,,40.2328949,-111.6688004,anonymous,EN,Other,1.01,1,15 minutes ,Take it or leave it,Ice Cream- sense of childhood and comfort food.,"gluten free, dairy free, egg free, wheat, peanut free",Female,18-25
1/13/22 9:46,1/13/22 9:49,IP Address,136.36.6.172,100,143,TRUE,1/13/22 9:49,R_2xVGw1KU2RiYJQp,,,,,40.23420715,-111.6442032,anonymous,EN,Kolaches,0,0,10 minutes,"Prefer fruits, vegetables or nuts",Hula Pie in Hawaii because it had a mix of so many different sweets and was so delicious ,,Male,18-25
1/13/22 13:44,1/13/22 13:46,IP Address,128.187.116.7,100,137,TRUE,1/13/22 13:46,R_2anLaBViMR5tnhi,,,,,40.25840759,-111.6591034,anonymous,EN,"Cupcakes,Donuts,Cinnamon Rolls,Bagels,Cookies,Other",1,2,15m,Would choose sweets when available,Babes bakery raspberry vanilla cake - It's so good. It just tasted incredible.,Peanuts/Shellfish,Male,18-25
1/13/22 14:09,1/13/22 14:12,IP Address,128.187.116.7,100,181,TRUE,1/13/22 14:12,R_1Hbij4gWymili6C,,,,,40.25840759,-111.6591034,anonymous,EN,Kolaches,1,1,12 min walk,Take it or leave it,gummy candies are my favorite. I actually don't like cupcakes very much.,none,Female,18-25
2/11/22 19:08,2/11/22 19:40,IP Address,216.21.163.7,100,1974,TRUE,2/11/22 19:40,R_2E0lYqtFQsM3Pw1,,,,,40.2328949,-111.6688004,anonymous,EN,Cookies,3.42,2,1,,d,d,Female,Mind your own business
9/7/22 21:40,9/7/22 21:42,IP Address,66.219.236.172,100,109,TRUE,9/7/22 21:42,R_psGiSBZAmW0SL97,,,,,40.2584,-111.6591,anonymous,EN,Bagels,1.2,1,5 min,"Prefer fruits, vegetables or nuts",Custard filled eclairs because they are superior,none,Male,18-25
9/8/22 12:32,9/8/22 12:33,IP Address,128.187.116.0,100,80,TRUE,9/8/22 12:33,R_5z1zcG9lkyfrYGd,,,,,40.2584,-111.6591,anonymous,EN,"Bagels,Kolaches",1.04,1,20 min,Would choose sweets when available,Mousse au chocolat in France - incredible ,none,Male,26-30
9/8/22 12:38,9/8/22 12:42,IP Address,128.187.116.19,100,194,TRUE,9/8/22 12:42,R_1JJ7v6yEBPNeHb6,,,,,40.2584,-111.6591,anonymous,EN,"Cupcakes,Donuts,Cinnamon Rolls,Cookies",1,1,20 mins,Take it or leave it,"fresh cinnamon roll, so tasty",none,Male,18-25
